route_id,split
99c94dc769b5d96e|2018-10-12--20-13-54,train
99c94dc769b5d96e|2018-10-14--14-06-44,train
99c94dc769b5d96e|2018-10-14--19-58-04,train
99c94dc769b5d96e|2018-10-15--08-45-15,train
99c94dc769b5d96e|2018-10-15--13-41-14,validation
99c94dc769b5d96e|2018-10-15--13-43-11,test
99c94dc769b5d96e|2018-10-15--14-39-02,train
99c94dc769b5d96e|2018-10-15--20-34-02,train
99c94dc769b5d96e|2018-10-16--10-13-38,train
99c94dc769b5d96e|2018-10-16--21-16-47,validation
99c94dc769b5d96e|2018-10-17--10-24-00,train
99c94dc769b5d96e|2018-10-25--13-21-14,train
99c94dc769b5d96e|2018-10-25--20-02-58,train
99c94dc769b5d96e|2018-10-25--20-55-47,validation
99c94dc769b5d96e|2018-10-28--10-45-34,test
99c94dc769b5d96e|2018-10-28--11-13-03,train
99c94dc769b5d96e|2018-10-30--13-54-09,train
99c94dc769b5d96e|2018-11-03--23-08-44,train
99c94dc769b5d96e|2018-11-03--23-19-38,train
99c94dc769b5d96e|2018-11-04--08-49-46,test
99c94dc769b5d96e|2018-11-05--20-32-38,train
