route_id,split
99c94dc769b5d96e|2018-11-06--08-40-05,train
99c94dc769b5d96e|2018-11-07--10-06-00,train
99c94dc769b5d96e|2018-11-07--20-57-42,train
99c94dc769b5d96e|2018-11-08--08-43-22,train
99c94dc769b5d96e|2018-11-09--20-49-26,test
99c94dc769b5d96e|2018-11-12--23-26-14,validation
99c94dc769b5d96e|2018-11-13--10-09-22,train
99c94dc769b5d96e|2018-11-13--21-14-19,validation
99c94dc769b5d96e|2018-11-14--13-31-42,train
99c94dc769b5d96e|2018-11-15--01-02-09,validation
99c94dc769b5d96e|2018-11-15--01-05-25,train
99c94dc769b5d96e|2018-11-15--10-31-50,train
99c94dc769b5d96e|2018-11-15--21-00-40,test
99c94dc769b5d96e|2018-11-16--10-00-42,test
99c94dc769b5d96e|2018-11-16--15-02-13,train
99c94dc769b5d96e|2018-11-16--15-11-03,train
99c94dc769b5d96e|2018-11-16--23-46-35,train
99c94dc769b5d96e|2018-11-19--09-56-45,train
