route_id,split
99c94dc769b5d96e|2018-05-01--08-13-53,train
99c94dc769b5d96e|2018-05-01--10-47-27,train
99c94dc769b5d96e|2018-05-01--11-24-52,train
99c94dc769b5d96e|2018-05-02--11-32-52,train
99c94dc769b5d96e|2018-05-02--11-42-52,validation
99c94dc769b5d96e|2018-05-02--16-01-39,test
99c94dc769b5d96e|2018-05-02--19-07-03,train
99c94dc769b5d96e|2018-05-02--20-07-13,train
99c94dc769b5d96e|2018-05-03--08-13-12,train
99c94dc769b5d96e|2018-05-03--09-25-46,validation
99c94dc769b5d96e|2018-05-05--11-09-01,train
99c94dc769b5d96e|2018-05-05--16-36-30,train
99c94dc769b5d96e|2018-05-12--15-03-33,train
99c94dc769b5d96e|2018-05-12--15-45-29,validation
99c94dc769b5d96e|2018-05-13--12-07-39,test
99c94dc769b5d96e|2018-05-13--20-53-38,train
99c94dc769b5d96e|2018-05-18--10-58-35,train
99c94dc769b5d96e|2018-05-18--16-00-42,train
99c94dc769b5d96e|2018-06-02--21-21-45,train
99c94dc769b5d96e|2018-06-11--17-34-11,test
99c94dc769b5d96e|2018-06-12--00-59-15,train
