route_id,split
b0c9d2329ad1606b|2018-07-27--06-03-57,train
b0c9d2329ad1606b|2018-07-27--06-50-48,train
b0c9d2329ad1606b|2018-07-29--11-17-20,train
b0c9d2329ad1606b|2018-07-29--12-02-42,train
b0c9d2329ad1606b|2018-07-29--16-37-17,validation
b0c9d2329ad1606b|2018-07-30--13-03-07,test
b0c9d2329ad1606b|2018-07-30--13-44-30,train
b0c9d2329ad1606b|2018-07-31--20-50-28,train
b0c9d2329ad1606b|2018-08-01--21-13-49,train
b0c9d2329ad1606b|2018-08-02--08-34-47,validation
b0c9d2329ad1606b|2018-08-02--16-41-38,train
b0c9d2329ad1606b|2018-08-03--10-35-16,train
b0c9d2329ad1606b|2018-08-06--10-04-53,train
b0c9d2329ad1606b|2018-08-10--22-42-26,validation
b0c9d2329ad1606b|2018-08-14--10-32-01,test
b0c9d2329ad1606b|2018-08-14--20-41-07,train
b0c9d2329ad1606b|2018-08-15--09-01-03,train
b0c9d2329ad1606b|2018-08-16--21-52-30,train
b0c9d2329ad1606b|2018-08-17--12-07-08,train
b0c9d2329ad1606b|2018-08-17--14-17-47,test
b0c9d2329ad1606b|2018-08-17--14-55-39,train
