route_id,split
b0c9d2329ad1606b|2018-08-18--18-20-55,train
b0c9d2329ad1606b|2018-08-24--18-40-57,train
b0c9d2329ad1606b|2018-09-13--22-01-21,train
b0c9d2329ad1606b|2018-09-15--17-50-36,train
b0c9d2329ad1606b|2018-09-20--19-47-23,validation
b0c9d2329ad1606b|2018-09-21--09-50-40,test
b0c9d2329ad1606b|2018-09-21--23-18-39,train
b0c9d2329ad1606b|2018-09-23--12-52-06,train
b0c9d2329ad1606b|2018-09-23--23-24-40,train
b0c9d2329ad1606b|2018-09-24--12-49-08,validation
b0c9d2329ad1606b|2018-10-05--20-16-56,train
b0c9d2329ad1606b|2018-10-05--20-46-40,train
b0c9d2329ad1606b|2018-10-05--21-20-29,train
b0c9d2329ad1606b|2018-10-05--22-20-31,validation
b0c9d2329ad1606b|2018-10-09--14-06-32,test
b0c9d2329ad1606b|2018-10-09--15-48-37,train
b0c9d2329ad1606b|2018-10-19--22-01-05,train
b0c9d2329ad1606b|2018-10-22--11-21-08,train
b0c9d2329ad1606b|2018-11-03--15-05-15,train
b0c9d2329ad1606b|2018-11-03--15-33-09,test
b0c9d2329ad1606b|2018-11-11--13-08-44,train
