route_id,split
99c94dc769b5d96e|2018-06-09--19-18-40,train
99c94dc769b5d96e|2018-06-12--18-52-46,train
99c94dc769b5d96e|2018-06-15--19-55-32,train
99c94dc769b5d96e|2018-06-18--21-20-21,train
99c94dc769b5d96e|2018-06-21--18-27-56,train
99c94dc769b5d96e|2018-06-22--20-13-04,validation
99c94dc769b5d96e|2018-06-24--12-20-02,validation
99c94dc769b5d96e|2018-06-24--14-01-30,test
99c94dc769b5d96e|2018-06-24--15-20-06,train
99c94dc769b5d96e|2018-06-25--10-11-05,test
99c94dc769b5d96e|2018-06-25--20-56-44,train
99c94dc769b5d96e|2018-06-25--21-14-19,train
99c94dc769b5d96e|2018-06-25--22-19-02,train
99c94dc769b5d96e|2018-06-27--15-03-44,train
99c94dc769b5d96e|2018-07-02--09-20-11,train
99c94dc769b5d96e|2018-07-02--19-08-27,train
