route_id,split
99c94dc769b5d96e|2018-07-19--15-34-31,train
99c94dc769b5d96e|2018-07-20--10-39-03,train
99c94dc769b5d96e|2018-07-20--16-07-46,train
99c94dc769b5d96e|2018-07-20--16-42-49,train
99c94dc769b5d96e|2018-07-20--16-43-04,test
99c94dc769b5d96e|2018-07-20--20-16-28,validation
99c94dc769b5d96e|2018-07-23--09-23-24,train
99c94dc769b5d96e|2018-07-24--20-31-30,train
99c94dc769b5d96e|2018-07-26--11-09-01,train
99c94dc769b5d96e|2018-07-26--21-25-46,validation
99c94dc769b5d96e|2018-07-27--11-39-28,train
99c94dc769b5d96e|2018-07-27--21-00-35,train
99c94dc769b5d96e|2018-08-01--14-42-27,train
99c94dc769b5d96e|2018-08-01--14-45-10,test
99c94dc769b5d96e|2018-08-03--14-04-02,test
99c94dc769b5d96e|2018-08-07--00-46-34,validation
99c94dc769b5d96e|2018-08-07--00-51-33,train
99c94dc769b5d96e|2018-08-07--10-03-55,train
99c94dc769b5d96e|2018-08-07--21-47-41,train
