route_id,split
99c94dc769b5d96e|2018-08-08--11-11-16,train
99c94dc769b5d96e|2018-08-17--09-18-11,train
99c94dc769b5d96e|2018-08-17--15-51-25,train
99c94dc769b5d96e|2018-08-17--19-52-03,train
99c94dc769b5d96e|2018-09-03--15-07-21,test
99c94dc769b5d96e|2018-09-12--22-04-39,validation
99c94dc769b5d96e|2018-09-13--08-45-04,train
99c94dc769b5d96e|2018-09-13--20-42-02,train
99c94dc769b5d96e|2018-09-14--11-24-12,train
99c94dc769b5d96e|2018-09-17--09-23-18,validation
99c94dc769b5d96e|2018-09-18--09-37-29,train
99c94dc769b5d96e|2018-09-18--11-30-46,train
99c94dc769b5d96e|2018-09-19--14-05-38,train
99c94dc769b5d96e|2018-09-19--14-14-47,test
99c94dc769b5d96e|2018-09-19--16-09-16,test
99c94dc769b5d96e|2018-09-24--19-08-05,validation
99c94dc769b5d96e|2018-09-25--09-06-17,train
99c94dc769b5d96e|2018-10-06--10-19-44,train
99c94dc769b5d96e|2018-10-06--10-55-28,train
